-146.343,61.086,ALLI/Allison Point  CP PH:907.835.2282 mid may-mid sep  SITES:61  AMEN:45ft approx 3.1 mi S  of Valdez 61.086 -146.343,ALLI,Allison Point,CP
-151.865,59.768,ANCH/Anchor River State Rec Area  SRA PH:907.262.5581   SITES:75  AMEN:NR approx 1.3 mi SW of Anchor Point 59.768 -151.865,ANCH,Anchor River State Rec Area,SRA
-150.81,66.566,ARCT/Arctic Circle - Dalton Hwy  BLM      AMEN:NH VT NR  66.566 -150.81,ARCT,Arctic Circle - Dalton Hwy,BLM
-134.737,58.381,AUKV/Auk Village  NF PH:907.586.8800/907.225.3101   SITES:17  AMEN:NR approx 12.7 mi NW of Juneau 58.381 -134.737,AUKV,Auk Village,NF
-149.256,60.751,BERT/Bertha Creek  NF PH:907.783.3242/907.743.9500   SITES:12  AMEN:NR approx 17.4 mi SE of Hope 60.751 -149.256,BERT,Bertha Creek,NF
-149.849,61.543,BIGL/Big Lake North State Rec Area  SRA PH:907.745.3975   SITES:60  AMEN:NR approx 13.7 mi W of Wasilla 61.543 -149.849,BIGL,Big Lake North State Rec Area,SRA
-150.702,60.516,BING/Bings Landing State Rec Area  SRA PH:907.262.5581   SITES:40  AMEN:NR approx 2.6 mi SE of Sterling 60.516 -150.702,BING,Bings Landing State Rec Area,SRA
-146.641,64.319,BIRC/Birch Lake State Rec Area  SRA    SITES:25  AMEN:VT DW NR L$ approx 13.7 mi SE of Salcha 64.319 -146.641,BIRC,Birch Lake State Rec Area,SRA
-149.464,60.973,BIRD/Bird Creek - Chugach State Park  SP PH:907.345.5014   SITES:47  AMEN:NR approx 22.3 mi SE of Anchorage 60.973 -149.464,BIRD,Bird Creek - Chugach State Park,SP
-148.909,60.794,BLAC/Black Bear  NF PH:907.783.3242/907.743.9500   SITES:12  AMEN:NR approx 14.0 mi SE of Girdwood 60.794 -148.909,BLAC,Black Bear,NF
-132.823,56.615,BLIN/Blind Slough  NF   COMM:take ferry   AMEN:NR approx 14.6 mi S  of Petersburg 56.615 -132.823,BLIN,Blind Slough,NF
-145.686,61.121,BLUE/Blueberry Lake State Rec Area  SRA    SITES:25  AMEN:VT DW NR approx 22.1 mi E of Valdez 61.121 -145.686,BLUE,Blueberry Lake State Rec Area,SRA
-148.055,63.294,BRUS/Brushkana Creek  BLM      AMEN:NR approx 28.6 mi E of Cantwell 63.294 -148.055,BRUS,Brushkana Creek,BLM
-152.478,57.763,BUSK/Buskin River State Rec Area  SRA PH:907.486.6339  COMM:take ferry SITES:15  AMEN:NR approx 3.2 mi SW of Kodiak 57.763 -152.478,BUSK,Buskin River State Rec Area,SRA
-150.115,62.747,BYER/Byers Lake - Denali State Park  SP PH:907.745.3975   SITES:65  AMEN:NR approx 30.0 mi N of Trapper Creek 62.747 -150.115,BYER,Byers Lake - Denali State Park,SP
-149.733,61.227,CENT/Centennial Camper Park  CP PH:907.343.6986   SITES:90 approx 5.6 mi E of Anchorage 61.227 -149.733,CENT,Centennial Camper Park,CP
-146.373,64.903,CHEN/Chena River State Rec Area  SRA PH:907.451.2695  COMM:3 campgrounds along same road SITES:75  AMEN:NH FT DW NR approx 39.7 mi E of Fairbanks 64.903 -146.373,CHEN,Chena River State Rec Area,SRA
-147.81,64.84,CHER/Chena River State Rec Site  SRA PH:907.451.2695  COMM:in town Fairbanks SITES:60  AMEN:WE FT DW NR approx 2.8 mi W of Fairbanks 64.84 -147.81,CHER,Chena River State Rec Site,SRA
-144.763,60.661,CHID/Childs Glacier Recreation Area  NP PH:907.424.7661 early jun-late sep  SITES:9  AMEN:NH VT DW RS  60.661 -144.763,CHID,Childs Glacier Recreation Area,NP
-135.363,59.148,CHIK/Chilkat State Park  SP PH:907.766.2292   SITES:30  AMEN:NR approx 6.7 mi SE of Haines 59.148 -135.363,CHIK,Chilkat State Park,SP
-135.559,59.334,CHIL/Chilkoot Lake State Rec Area  SRA PH:907.465.4563   SITES:30  AMEN:NR approx 7.9 mi NW of Haines 59.334 -135.559,CHIL,Chilkoot Lake State Rec Area,SRA
-151.387,60.233,CLAM/Clam Gulch State Rec Area  SRA PH:907.262.5581   SITES:115  AMEN:NR approx 0.2 mi NE of Clam Gulch 60.233 -151.387,CLAM,Clam Gulch State Rec Area,SRA
-145.442,64.055,CLEA/Clearwater State Rec Area  SRA    SITES:17  AMEN:VT DW NR approx 8.8 mi E of Delta Junction 64.055 -145.442,CLEA,Clearwater State Rec Area,SRA
-149.533,60.85,COEU/Coeur Dalene  NF PH:907.224.3374/907.743.9500   SITES:6  AMEN:NR approx 6.1 mi SE of Hope 60.85 -149.533,COEU,Coeur Dalene,NF
-149.888,60.484,COOP/Cooper Creek Trailhead  NF PH:907.224.3374/907.743.9500 early jun-late aug  SITES:34  AMEN:NH RS approx 1.9 mi W of Cooper Landing 60.484 -149.888,COOP,Cooper Creek Trailhead,NF
-149.688,60.499,CRES/Crescent Creek  NF PH:907.224.3374/907.743.9500   SITES:13  AMEN:NR approx 5.0 mi E of Cooper Landing 60.499 -149.688,CRES,Crescent Creek,NF
-146.694,65.274,CRIP/Cripple Creek - Steese Hwy  BLM    SITES:12  AMEN:NH VT NR approx 42.4 mi NE of Fairbanks 65.274 -146.694,CRIP,Cripple Creek - Steese Hwy,BLM
-151.688,60.027,DEEP/Deep Creek State Rec Area  SRA PH:907.262.5581   SITES:160  AMEN:NR approx 1.8 mi S  of Ninilchik 60.027 -151.688,DEEP,Deep Creek State Rec Area,SRA
-145.733,64.06,DELT/Delta State Rec Area  SRA PH:907.451.2695   SITES:25  AMEN:NR approx 1.5 mi N  of Delta Junction 64.06 -145.733,DELT,Delta State Rec Area,SRA
-150.17,62.737,DENA/Denali Viewpoint - Denali State Park  SP PH:907.745.3975   SITES:25  AMEN:NR approx 28.8 mi N  of Talkeetna 62.737 -150.17,DENA,Denali Viewpoint - Denali State Park,SP
-151.016,60.804,DISC/Discovery State Rec Area  SRA PH:907.262.5581   SITES:53  AMEN:NR approx 19.1 mi NE of Kenai 60.804 -151.016,DISC,Discovery State Rec Area,SRA
-150.799,60.702,DOLL/Dolly Varden Lake       approx 18.6 mi NE of Kenai 60.702 -150.799,DOLL,Dolly Varden Lake, 
-145.883,63.677,DONN/Donnelly Creek State Rec Area  SRA    SITES:12  AMEN:VT DW NR approx 25.3 mi S  of Delta Junction 63.677 -145.883,DONN,Donnelly Creek State Rec Area,SRA
-145.478,62.146,DRYC/Dry Creek State Rec Area  SRA PH:907.745.3975   SITES:60  AMEN:NR approx 3.6 mi NE of Glennallen 62.146 -145.478,DRYC,Dry Creek State Rec Area,SRA
-135.359,59.483,DYEA/Dyea - Klondike National Historical Park  NP PH:907.983.9224     AMEN:NH NR approx 2.3 mi NW of Skagway 59.483 -135.359,DYEA,Dyea - Klondike National Historical Park,NP
-141.238,64.774,EAGL/Eagle - Taylor Hwy  BLM PH:907.883.5121   SITES:16  AMEN:NH VT NR approx 1.5 mi SW of Eagle 64.774 -141.238,EAGL,Eagle - Taylor Hwy,BLM
-149.57,61.307,EAGR/Eagle River - Chugach State Park  SP PH:907.345.5014   SITES:58  AMEN:PT DW NR approx 1.2 mi S  of Eagle River 61.307 -149.57,EAGR,Eagle River - Chugach State Park,SP
-143.195,63.165,EAGT/Eagle Trail State Rec Area  SRA PH:907.451.2695   SITES:35  AMEN:NR approx 13.5 mi SW of Tok 63.165 -143.195,EAGT,Eagle Trail State Rec Area,SRA
-132.852,55.707,EAGN/Eagles Nest  NF PH:907.826.3271/907.225.3101 mid may-mid sep COMM:take ferry SITES:12  AMEN:NH RS  55.707 -132.852,EAGN,Eagles Nest,NF
-149.148,61.409,EKLU/Eklunta - Chugach State Park  SP PH:907.345.5014   SITES:50  AMEN:PT DW NR approx 11.1 mi E of Chugiak 61.409 -149.148,EKLU,Eklunta - Chugach State Park,SP
-149.274,61.61,FING/Finger Lake State Rec Area  SRA PH:907.745.3975   SITES:40  AMEN:NR approx 5.8 mi E of Wasilla 61.61 -149.274,FING,Finger Lake State Rec Area,SRA
-149.816,65.918,FIVE/Five Mile - Dalton Hwy  BLM      AMEN:NH VT NR  65.918 -149.816,FIVE,Five Mile - Dalton Hwy,BLM
-152.36,57.831,FORT/Fort Abercrombie State Park  SP PH:907.486.6339  COMM:take ferry   AMEN:NR approx 3.3 mi NE of Kodiak 57.831 -152.36,FORT,Fort Abercrombie State Park,SP
-149.46,68.5,GALB/Galbraith Lake - Dalton Hwy  BLM      AMEN:NH VT NR  68.5 -149.46,GALB,Galbraith Lake - Dalton Hwy,BLM
-149.292,60.725,GRAN/Granite Creek  NF PH:907.783.3242/907.743.9500 early jun-late aug  SITES:19  AMEN:NH RS approx 16.6 mi N of Moose Pass 60.725 -149.292,GRAN,Granite Creek,NF
-146.882,64.438,HARD/Harding Lake State Rec Area  SRA PH:907.451.2695   SITES:90  AMEN:NR approx 2.8 mi SE of Salcha 64.438 -146.882,HARD,Harding Lake State Rec Area,SRA
-132.862,55.467,HARR/Harris River  NF PH:907.826.3271/907.225.3101 mid may-mid sep COMM:take ferry SITES:15  AMEN:NH RS approx 10.9 mi SE of Klawock 55.467 -132.862,HARR,Harris River,NF
-150.204,60.466,HIDD/Hidden Lake  - Kenai Wildlife Refuge  NWR PH:907.262.7021   SITES:43  AMEN:NR approx 12.7 mi W of Cooper Landing 60.466 -150.204,HIDD,Hidden Lake  - Kenai Wildlife Refuge,NWR
-150.755,60.536,IZAA/Izaak Walton State Rec Area  SRA PH:907.262.5581   SITES:25  AMEN:NR approx 0.3 mi E of Sterling 60.536 -150.755,IZAA,Izaak Walton State Rec Area,SRA
-151.269,60.293,JOHN/Johnson Lake State Rec Area  SRA PH:907.262.5581   SITES:50  AMEN:NR approx 3.1 mi S  of Kasilof 60.293 -151.269,JOHN,Johnson Lake State Rec Area,SRA
